TOP 30 BIGRAM TRANSITIONS  P(B|A) — no linguistic labels

     A       B   count    P(B|A)   obs/exp

------------------------------------------------
   189     252       4    1.0000    283.20x
   238     267       4    1.0000     36.31x
   358     342      29    1.0000      9.52x
   348     342      19    1.0000      9.52x
    62     342      10    1.0000      9.52x
   395      99       5    1.0000     21.21x
   222     254      19    1.0000    169.07x
   412     123       4    1.0000     71.25x
   183     169      11    1.0000     53.43x
   305     123       3    1.0000     71.25x
   113     342      15    1.0000      9.52x
    45      95       3    1.0000    188.80x
   337     294       3    1.0000    290.46x
    73     176       4    1.0000     36.31x
   347     342      89    0.9674      9.21x
    95     328      58    0.9667     35.10x
   103     403      25    0.9615    134.47x
   296     342      31    0.9394      8.94x
   119      87      12    0.9231     33.51x
     8     342      78    0.9176      8.74x
   292     342       7    0.8750      8.33x
   172     304       7    0.8750    991.20x
   125      59      11    0.8462     31.74x
   178     389      27    0.8438     80.32x
   267      99     249    0.8245     17.49x
   258     347      14    0.8235    100.31x
   193     342      18    0.8182      7.79x
   289     342       4    0.8000      7.62x
   406     162       8    0.8000     48.46x
    15     176      24    0.8000     29.05x
