from_sign,to_sign,count,P(to|from)
189,252,4,1.0
238,267,4,1.0
358,342,29,1.0
348,342,19,1.0
62,342,10,1.0
395,99,5,1.0
222,254,19,1.0
412,123,4,1.0
183,169,11,1.0
305,123,3,1.0
113,342,15,1.0
45,95,3,1.0
337,294,3,1.0
73,176,4,1.0
347,342,89,0.967391
95,328,58,0.966667
103,403,25,0.961538
296,342,31,0.939394
119,87,12,0.923077
8,342,78,0.917647
292,342,7,0.875
172,304,7,0.875
125,59,11,0.846154
178,389,27,0.84375
267,99,249,0.824503
258,347,14,0.823529
193,342,18,0.818182
289,342,4,0.8
406,162,8,0.8
15,176,24,0.8
301,155,8,0.8
263,343,4,0.8
228,342,4,0.8
388,176,4,0.8
135,342,20,0.769231
150,123,34,0.755556
253,230,12,0.75
110,342,3,0.75
182,293,27,0.75
209,343,9,0.75
128,342,6,0.75
111,342,3,0.75
226,254,6,0.75
334,342,3,0.75
195,343,3,0.75
417,267,3,0.75
322,99,3,0.75
7,176,3,0.75
409,96,14,0.736842
48,342,105,0.719178
78,347,5,0.714286
210,169,15,0.714286
142,149,5,0.714286
304,307,7,0.7
130,149,33,0.6875
326,342,19,0.678571
40,176,4,0.666667
149,342,35,0.625
171,59,65,0.625
295,87,5,0.625
51,130,50,0.60241
367,342,3,0.6
136,193,9,0.6
415,342,3,0.6
137,249,9,0.6
336,89,106,0.566845
41,137,9,0.5625
407,169,21,0.552632
294,342,21,0.538462
134,86,7,0.538462
194,342,24,0.521739
25,245,22,0.511628
9,342,5,0.5
160,343,3,0.5
391,99,76,0.487179
180,99,14,0.482759
89,328,124,0.478764
244,342,31,0.476923
379,307,8,0.470588
177,307,8,0.470588
204,245,30,0.461538
109,59,14,0.451613
286,99,4,0.444444
190,48,4,0.444444
287,342,32,0.438356
2,12,7,0.4375
327,342,13,0.433333
245,245,60,0.431655
112,194,24,0.428571
247,342,3,0.428571
18,211,9,0.428571
330,245,3,0.428571
94,67,3,0.428571
169,342,42,0.424242
153,153,8,0.421053
407,124,16,0.421053
342,176,160,0.419948
155,211,18,0.418605
177,197,7,0.411765
216,254,27,0.409091
293,123,46,0.40708
75,245,4,0.4
233,342,8,0.4
214,342,4,0.4
254,176,4,0.4
252,97,11,0.392857
403,87,31,0.392405
104,169,24,0.387097
373,287,15,0.384615
124,169,27,0.380282
201,342,3,0.375
201,277,3,0.375
66,176,3,0.375
381,99,4,0.363636
400,99,4,0.363636
1,1,12,0.363636
96,342,4,0.363636
325,347,4,0.363636
76,402,5,0.357143
175,230,14,0.35
284,342,8,0.347826
341,342,15,0.340909
192,347,5,0.333333
386,53,3,0.333333
192,341,5,0.333333
190,374,3,0.333333
60,176,3,0.333333
249,162,43,0.330769
109,162,10,0.322581
104,162,20,0.322581
230,53,13,0.317073
249,169,41,0.315385
53,342,32,0.313725
2,176,5,0.3125
162,342,31,0.306931
216,123,20,0.30303
233,59,6,0.3
323,323,3,0.3
171,8,31,0.298077
106,169,10,0.294118
106,287,10,0.294118
230,342,12,0.292683
96,19,3,0.272727
302,343,3,0.272727
100,17,6,0.272727
81,99,4,0.266667
81,342,4,0.266667
403,342,21,0.265823
211,176,10,0.263158
87,328,77,0.262799
375,342,9,0.25
375,375,9,0.25
402,99,14,0.241379
18,252,5,0.238095
127,342,8,0.235294
379,245,4,0.235294
261,134,4,0.235294
328,328,10,0.232558
176,342,9,0.230769
134,98,3,0.230769
47,211,3,0.230769
197,342,10,0.227273
389,15,27,0.226891
124,342,16,0.225352
65,67,40,0.220994
121,342,12,0.218182
284,99,5,0.217391
173,59,6,0.214286
1,121,7,0.212121
28,162,8,0.210526
153,342,4,0.210526
409,94,4,0.210526
205,267,5,0.208333
127,347,7,0.205882
176,176,8,0.205128
175,180,8,0.2
192,342,3,0.2
327,128,6,0.2
342,1,73,0.191601
59,211,51,0.191011
54,180,3,0.1875
41,245,3,0.1875
2,14,3,0.1875
211,87,7,0.184211
169,99,18,0.181818
176,211,7,0.179487
173,342,5,0.178571
149,249,10,0.178571
53,171,18,0.176471
261,186,3,0.176471
17,293,12,0.173913
87,59,50,0.170648
123,343,26,0.166667
130,15,8,0.166667
205,367,4,0.166667
121,121,9,0.163636
25,176,7,0.162791
89,211,42,0.162162
345,341,6,0.162162
345,328,6,0.162162
112,197,9,0.160714
102,162,20,0.16
387,342,13,0.158537
204,230,10,0.153846
194,18,7,0.152174
102,59,19,0.152
175,176,6,0.15
186,293,3,0.15
307,176,7,0.148936
307,342,7,0.148936
106,162,5,0.147059
387,72,12,0.146341
70,336,8,0.145455
70,211,8,0.145455
121,99,8,0.145455
97,25,11,0.144737
72,211,23,0.144654
102,15,18,0.144
102,190,18,0.144
245,358,20,0.143885
252,99,4,0.142857
252,391,4,0.142857
173,403,4,0.142857
18,162,3,0.142857
391,123,22,0.141026
124,25,10,0.140845
25,342,6,0.139535
328,59,6,0.139535
182,149,5,0.138889
87,342,40,0.136519
197,192,6,0.136364
59,342,36,0.134831
327,254,4,0.133333
51,342,11,0.13253
211,242,5,0.131579
307,284,6,0.12766
53,67,13,0.127451
389,65,15,0.12605
389,72,15,0.12605
112,169,7,0.125
205,245,3,0.125
67,244,29,0.124464
293,342,14,0.123894
245,342,17,0.122302
1,176,4,0.121212
72,336,19,0.119497
162,343,12,0.118812
135,347,3,0.115385
341,18,5,0.113636
341,89,5,0.113636
67,211,26,0.111588
65,72,20,0.110497
99,67,57,0.109615
287,319,8,0.109589
194,169,5,0.108696
345,65,4,0.108108
204,112,7,0.107692
173,12,3,0.107143
86,15,12,0.103448
402,97,6,0.103448
180,391,3,0.103448
402,149,6,0.103448
373,373,4,0.102564
294,15,4,0.102564
169,183,10,0.10101
169,373,10,0.10101
389,171,12,0.10084
175,214,4,0.1
98,178,6,0.1
98,121,6,0.1
65,336,18,0.099448
293,51,11,0.097345
109,245,3,0.096774
102,287,12,0.096
48,8,14,0.09589
67,342,22,0.094421
65,249,17,0.093923
155,347,4,0.093023
155,343,4,0.093023
155,169,4,0.093023
328,2,4,0.093023
25,15,4,0.093023
328,307,4,0.093023
267,402,28,0.092715
244,149,6,0.092308
70,53,5,0.090909
121,59,5,0.090909
67,72,21,0.090129
112,342,5,0.089286
162,99,9,0.089109
106,15,3,0.088235
17,336,6,0.086957
17,8,6,0.086957
402,123,5,0.086207
124,12,6,0.084507
389,407,10,0.084034
98,347,5,0.083333
345,98,3,0.081081
162,162,8,0.079208
211,97,3,0.078947
28,169,3,0.078947
391,97,12,0.076923
294,375,3,0.076923
373,8,3,0.076923
373,342,3,0.076923
403,347,6,0.075949
216,245,5,0.075758
387,67,6,0.073171
230,211,3,0.073171
230,99,3,0.073171
387,65,6,0.073171
70,72,4,0.072727
65,59,13,0.071823
343,67,10,0.070922
123,65,11,0.070513
328,162,3,0.069767
328,391,3,0.069767
336,321,13,0.069519
249,65,9,0.069231
86,99,8,0.068966
287,402,5,0.068493
197,336,3,0.068182
197,252,3,0.068182
197,86,3,0.068182
97,104,5,0.065789
99,87,34,0.065385
194,327,3,0.065217
104,59,4,0.064516
123,67,10,0.064103
343,87,9,0.06383
343,249,9,0.06383
307,86,3,0.06383
72,48,10,0.062893
99,65,32,0.061538
387,53,5,0.060976
86,328,7,0.060345
162,402,6,0.059406
53,72,6,0.058824
72,342,9,0.056604
287,87,4,0.054795
70,112,3,0.054545
70,327,3,0.054545
249,336,7,0.053846
149,89,3,0.053571
112,162,3,0.053571
97,252,4,0.052632
402,87,3,0.051724
