ngram_n,type,signs,raw_count,weighted
2,sign,M89-M328,124,114.169
2,sign,M87-M328,77,74.9
2,sign,M267-M99,249,65.3213
2,sign,M342-M176,160,56.1083
2,sign,M95-M328,58,52.8333
2,sign,M48-M342,105,44.8992
2,sign,M347-M342,89,23.4252
2,sign,M336-M89,106,22.6686
2,sign,M8-M342,78,20.1742
2,sign,M391-M99,76,18.5534
2,sign,M342-M1,73,16.5762
2,sign,M59-M211,51,16.1167
2,sign,M171-M59,65,15.9246
2,sign,M245-M245,60,14.1969
2,sign,M102-M15,18,13.8333
2,sign,M244-M342,31,12.5028
2,sign,M99-M67,57,12.1968
2,sign,M104-M162,20,12.15
2,sign,M87-M342,40,11.6595
2,sign,M216-M254,27,11.0119
2,sign,M72-M211,23,10.9667
2,sign,M204-M245,30,10.8667
2,sign,M51-M130,50,10.6345
2,sign,M104-M169,24,10.6242
2,sign,M296-M342,31,10.619
2,sign,M87-M59,50,10.2599
2,sign,M389-M15,27,10.2512
2,sign,M59-M342,36,10.0472
2,sign,M267-M402,28,9.9333
2,sign,M169-M342,42,9.879
2,sign,M103-M403,25,9.8429
2,sign,M249-M162,43,9.8425
2,sign,M149-M342,35,9.8222
2,sign,M89-M211,42,9.7742
2,sign,M67-M211,26,9.7595
2,sign,M293-M123,46,9.7286
2,sign,M336-M321,13,9.7
2,sign,M178-M389,27,9.394
2,sign,M326-M342,19,9.3583
2,sign,M403-M87,31,9.1262
2,sign,M403-M342,21,8.95
2,sign,M358-M342,29,8.8583
2,sign,M15-M176,24,8.8095
2,sign,M249-M169,41,8.7123
2,sign,M86-M15,12,8.65
2,sign,M102-M162,20,8.45
2,sign,M67-M244,29,8.1417
2,sign,M53-M342,32,8.0869
2,sign,M287-M342,32,7.9698
2,sign,M150-M123,34,7.9595
2,slot,AMBIGUOUS-AMBIGUOUS,3922,1128.3113
2,slot,AMBIGUOUS-TERMINAL,921,504.1458
2,slot,MEDIAL-AMBIGUOUS,1432,333.9554
2,slot,AMBIGUOUS-MEDIAL,1180,279.4603
2,slot,INITIAL-MEDIAL,317,84.7427
2,slot,INITIAL-AMBIGUOUS,189,65.1185
2,slot,INITIAL-TERMINAL,62,54.75
2,slot,MEDIAL-MEDIAL,185,41.5131
2,slot,TERMINAL-TERMINAL,80,26.1857
2,slot,TERMINAL-AMBIGUOUS,85,25.9632
2,slot,MEDIAL-TERMINAL,81,25.6921
2,slot,AMBIGUOUS-INITIAL,88,24.681
2,slot,MEDIAL-INITIAL,14,3.5833
2,slot,TERMINAL-MEDIAL,15,3.0548
2,slot,INITIAL-INITIAL,9,2.6667
2,slot,TERMINAL-INITIAL,6,1.1762
3,sign,M48-M342-M176,46,43.0
3,sign,M178-M389-M15,26,16.4429
3,sign,M103-M403-M342,20,16.4167
3,sign,M171-M59-M211,20,14.3167
3,sign,M336-M89-M211,42,14.1036
3,sign,M249-M169-M342,40,12.1234
3,sign,M403-M87-M342,26,11.169
3,sign,M204-M245-M358,20,9.8333
3,sign,M245-M358-M342,20,9.8333
3,sign,M249-M162-M342,30,9.3718
3,sign,M171-M8-M342,28,8.825
3,sign,M67-M244-M342,23,8.7595
3,sign,M25-M245-M245,22,8.0167
3,sign,M293-M123-M343,26,7.6
3,sign,M267-M99-M67,25,7.1357
3,sign,M258-M347-M342,14,6.6667
3,sign,M51-M130-M149,33,6.6148
3,sign,M102-M59-M342,10,6.5333
3,sign,M119-M87-M342,12,6.5
3,sign,M106-M287-M342,10,6.4167
3,sign,M347-M342-M176,14,6.2
3,sign,M267-M99-M113,11,6.0
3,sign,M379-M307-M176,6,6.0
3,sign,M177-M307-M284,6,6.0
3,sign,M182-M293-M342,11,5.8167
3,sign,M72-M48-M342,10,5.75
3,sign,M99-M102-M162,12,5.5
3,sign,M204-M245-M342,6,5.5
3,sign,M51-M130-M15,8,5.5
3,sign,M87-M342-M176,11,5.5
3,sign,M72-M216-M254,7,5.4167
3,sign,M130-M149-M342,22,5.3786
3,sign,M99-M113-M342,10,5.0
3,sign,M267-M99-M66,5,5.0
3,sign,M210-M169-M99,15,5.0
3,sign,M169-M99-M67,15,5.0
3,sign,M99-M67-M211,15,5.0
3,sign,M267-M99-M65,18,4.975
3,sign,M59-M48-M342,9,4.8333
3,sign,M375-M375-M342,7,4.75
