sign,slot,count,initial_rate,terminal_rate,medial_rate
342,AMBIGUOUS,1190,0.0008,0.6798,0.3193
99,MEDIAL,534,0.0037,0.0262,0.97
267,INITIAL,312,0.7949,0.0321,0.1731
87,AMBIGUOUS,312,0.4006,0.0609,0.5385
176,TERMINAL,312,0.0032,0.875,0.1218
328,TERMINAL,312,0.0577,0.8622,0.0801
59,AMBIGUOUS,302,0.1523,0.1159,0.7318
89,AMBIGUOUS,274,0.4635,0.0547,0.4818
67,AMBIGUOUS,234,0.2521,0.0043,0.7436
169,AMBIGUOUS,212,0.0189,0.533,0.4481
211,TERMINAL,209,0.0,0.8182,0.1818
336,AMBIGUOUS,190,0.2737,0.0158,0.7105
162,AMBIGUOUS,187,0.0535,0.4599,0.4866
65,AMBIGUOUS,183,0.3825,0.0109,0.6066
245,AMBIGUOUS,176,0.125,0.2102,0.6648
391,AMBIGUOUS,172,0.6977,0.093,0.2093
72,AMBIGUOUS,159,0.2453,0.0,0.7547
123,MEDIAL,159,0.0,0.0189,0.9811
48,AMBIGUOUS,147,0.4558,0.0068,0.5374
343,MEDIAL,144,0.125,0.0208,0.8542
249,AMBIGUOUS,137,0.2409,0.0511,0.708
102,AMBIGUOUS,135,0.5111,0.0741,0.4148
86,AMBIGUOUS,125,0.504,0.072,0.424
389,AMBIGUOUS,119,0.5042,0.0,0.4958
15,TERMINAL,117,0.0256,0.7436,0.2308
293,AMBIGUOUS,116,0.5345,0.0259,0.4397
171,AMBIGUOUS,107,0.3084,0.028,0.6636
1,AMBIGUOUS,105,0.1143,0.6857,0.2
53,AMBIGUOUS,102,0.2451,0.0,0.7549
347,MEDIAL,93,0.0,0.0108,0.9892
51,AMBIGUOUS,86,0.2907,0.0349,0.6744
402,AMBIGUOUS,85,0.0706,0.3176,0.6118
8,MEDIAL,85,0.0235,0.0,0.9765
387,AMBIGUOUS,82,0.3293,0.0,0.6707
403,AMBIGUOUS,81,0.2099,0.0247,0.7654
97,MEDIAL,79,0.0,0.038,0.962
149,AMBIGUOUS,76,0.0658,0.2632,0.6711
287,AMBIGUOUS,75,0.2133,0.0267,0.76
124,AMBIGUOUS,71,0.2535,0.0,0.7465
17,AMBIGUOUS,71,0.4366,0.0282,0.5352
98,AMBIGUOUS,71,0.0563,0.1549,0.7887
216,AMBIGUOUS,71,0.4648,0.0704,0.4648
12,TERMINAL,68,0.0147,0.8529,0.1324
254,TERMINAL,67,0.0448,0.8507,0.1045
104,AMBIGUOUS,66,0.4242,0.0606,0.5152
204,AMBIGUOUS,66,0.697,0.0152,0.2879
244,AMBIGUOUS,65,0.2923,0.0,0.7077
307,AMBIGUOUS,63,0.2063,0.254,0.5397
95,INITIAL,60,0.9333,0.0,0.0667
121,MEDIAL,56,0.1786,0.0179,0.8036
112,AMBIGUOUS,56,0.2679,0.0,0.7321
70,AMBIGUOUS,55,0.2545,0.0,0.7455
130,MEDIAL,53,0.0,0.0943,0.9057
373,AMBIGUOUS,51,0.2941,0.2353,0.4706
194,MEDIAL,48,0.0417,0.0417,0.9167
25,AMBIGUOUS,48,0.2083,0.1042,0.6875
341,AMBIGUOUS,47,0.2128,0.0638,0.7234
150,INITIAL,46,0.8043,0.0217,0.1739
