inscription_id,site,length,position,sign,slot
1003,Mohenjo-daro,9,0,86,AMBIGUOUS
1003,Mohenjo-daro,9,1,55,AMBIGUOUS
1003,Mohenjo-daro,9,2,267,INITIAL
1003,Mohenjo-daro,9,3,99,MEDIAL
1003,Mohenjo-daro,9,4,121,MEDIAL
1003,Mohenjo-daro,9,5,72,AMBIGUOUS
1003,Mohenjo-daro,9,6,336,AMBIGUOUS
1003,Mohenjo-daro,9,7,89,AMBIGUOUS
1003,Mohenjo-daro,9,8,211,TERMINAL
1004,Mohenjo-daro,7,0,59,AMBIGUOUS
1004,Mohenjo-daro,7,1,127,AMBIGUOUS
1004,Mohenjo-daro,7,2,245,AMBIGUOUS
1004,Mohenjo-daro,7,3,343,MEDIAL
1004,Mohenjo-daro,7,4,75,AMBIGUOUS
1004,Mohenjo-daro,7,5,245,AMBIGUOUS
1004,Mohenjo-daro,7,6,245,AMBIGUOUS
1005,Mohenjo-daro,2,0,296,MEDIAL
1005,Mohenjo-daro,2,1,342,AMBIGUOUS
1006,Mohenjo-daro,11,0,233,MEDIAL
1006,Mohenjo-daro,11,1,81,MEDIAL
1006,Mohenjo-daro,11,2,99,MEDIAL
1006,Mohenjo-daro,11,3,389,AMBIGUOUS
1006,Mohenjo-daro,11,4,65,AMBIGUOUS
1006,Mohenjo-daro,11,5,336,AMBIGUOUS
1006,Mohenjo-daro,11,6,89,AMBIGUOUS
1006,Mohenjo-daro,11,7,87,AMBIGUOUS
1006,Mohenjo-daro,11,8,155,MEDIAL
1006,Mohenjo-daro,11,9,124,AMBIGUOUS
1006,Mohenjo-daro,11,10,169,AMBIGUOUS
1007,Mohenjo-daro,2,0,109,AMBIGUOUS
1007,Mohenjo-daro,2,1,162,AMBIGUOUS
1008,Mohenjo-daro,8,0,76,INITIAL
1008,Mohenjo-daro,8,1,402,AMBIGUOUS
1008,Mohenjo-daro,8,2,87,AMBIGUOUS
1008,Mohenjo-daro,8,3,59,AMBIGUOUS
1008,Mohenjo-daro,8,4,67,AMBIGUOUS
1008,Mohenjo-daro,8,5,336,AMBIGUOUS
1008,Mohenjo-daro,8,6,89,AMBIGUOUS
1008,Mohenjo-daro,8,7,211,TERMINAL
1010,Mohenjo-daro,6,0,391,AMBIGUOUS
1010,Mohenjo-daro,6,1,99,MEDIAL
1010,Mohenjo-daro,6,2,48,AMBIGUOUS
1010,Mohenjo-daro,6,3,171,AMBIGUOUS
1010,Mohenjo-daro,6,4,8,MEDIAL
1010,Mohenjo-daro,6,5,342,AMBIGUOUS
1011,Mohenjo-daro,9,0,267,INITIAL
1011,Mohenjo-daro,9,1,99,MEDIAL
1011,Mohenjo-daro,9,2,67,AMBIGUOUS
1011,Mohenjo-daro,9,3,296,MEDIAL
1011,Mohenjo-daro,9,4,9,MEDIAL
1011,Mohenjo-daro,9,5,342,AMBIGUOUS
1011,Mohenjo-daro,9,6,17,AMBIGUOUS
1011,Mohenjo-daro,9,7,407,MEDIAL
1011,Mohenjo-daro,9,8,169,AMBIGUOUS
1012,Mohenjo-daro,13,0,150,INITIAL
1012,Mohenjo-daro,13,1,123,MEDIAL
1012,Mohenjo-daro,13,2,51,AMBIGUOUS
1012,Mohenjo-daro,13,3,130,MEDIAL
1012,Mohenjo-daro,13,4,149,AMBIGUOUS
1012,Mohenjo-daro,13,5,342,AMBIGUOUS
1012,Mohenjo-daro,13,6,150,INITIAL
1012,Mohenjo-daro,13,7,123,MEDIAL
1012,Mohenjo-daro,13,8,387,AMBIGUOUS
1012,Mohenjo-daro,13,9,342,AMBIGUOUS
1012,Mohenjo-daro,13,10,28,AMBIGUOUS
1012,Mohenjo-daro,13,11,400,AMBIGUOUS
1012,Mohenjo-daro,13,12,404,AMBIGUOUS
1013,Mohenjo-daro,4,0,51,AMBIGUOUS
1013,Mohenjo-daro,4,1,130,MEDIAL
1013,Mohenjo-daro,4,2,149,AMBIGUOUS
1013,Mohenjo-daro,4,3,342,AMBIGUOUS
1014,Mohenjo-daro,7,0,267,INITIAL
1014,Mohenjo-daro,7,1,99,MEDIAL
1014,Mohenjo-daro,7,2,87,AMBIGUOUS
1014,Mohenjo-daro,7,3,59,AMBIGUOUS
1014,Mohenjo-daro,7,4,67,AMBIGUOUS
1014,Mohenjo-daro,7,5,194,MEDIAL
1014,Mohenjo-daro,7,6,342,AMBIGUOUS
1015,Mohenjo-daro,3,0,197,AMBIGUOUS
1015,Mohenjo-daro,3,1,28,AMBIGUOUS
1015,Mohenjo-daro,3,2,54,AMBIGUOUS
1016,Mohenjo-daro,7,0,245,AMBIGUOUS
1016,Mohenjo-daro,7,1,245,AMBIGUOUS
1016,Mohenjo-daro,7,2,345,AMBIGUOUS
1016,Mohenjo-daro,7,3,65,AMBIGUOUS
1016,Mohenjo-daro,7,4,158,AMBIGUOUS
