ngram_n,pattern,raw_count,weighted
2,AMBIGUOUS-AMBIGUOUS,3922,1128.3113
2,AMBIGUOUS-TERMINAL,921,504.1458
2,MEDIAL-AMBIGUOUS,1432,333.9554
2,AMBIGUOUS-MEDIAL,1180,279.4603
2,INITIAL-MEDIAL,317,84.7427
2,INITIAL-AMBIGUOUS,189,65.1185
2,INITIAL-TERMINAL,62,54.75
2,MEDIAL-MEDIAL,185,41.5131
2,TERMINAL-TERMINAL,80,26.1857
2,TERMINAL-AMBIGUOUS,85,25.9632
2,MEDIAL-TERMINAL,81,25.6921
2,AMBIGUOUS-INITIAL,88,24.681
2,MEDIAL-INITIAL,14,3.5833
2,TERMINAL-MEDIAL,15,3.0548
2,INITIAL-INITIAL,9,2.6667
2,TERMINAL-INITIAL,6,1.1762
3,AMBIGUOUS-AMBIGUOUS-AMBIGUOUS,1825,600.2918
3,AMBIGUOUS-MEDIAL-AMBIGUOUS,942,295.8969
3,AMBIGUOUS-AMBIGUOUS-TERMINAL,449,236.8041
3,MEDIAL-AMBIGUOUS-AMBIGUOUS,752,202.6776
3,AMBIGUOUS-AMBIGUOUS-MEDIAL,519,135.2628
3,INITIAL-MEDIAL-AMBIGUOUS,271,91.6818
3,INITIAL-AMBIGUOUS-AMBIGUOUS,102,57.1202
3,MEDIAL-MEDIAL-AMBIGUOUS,155,47.5624
3,MEDIAL-AMBIGUOUS-TERMINAL,108,42.0333
3,MEDIAL-AMBIGUOUS-MEDIAL,170,40.075
3,AMBIGUOUS-MEDIAL-MEDIAL,131,37.6433
3,AMBIGUOUS-MEDIAL-TERMINAL,65,30.2635
3,AMBIGUOUS-TERMINAL-TERMINAL,50,28.4024
3,AMBIGUOUS-TERMINAL-AMBIGUOUS,51,17.1699
3,AMBIGUOUS-INITIAL-AMBIGUOUS,35,15.6845
3,INITIAL-AMBIGUOUS-MEDIAL,47,14.0762
3,INITIAL-MEDIAL-MEDIAL,24,10.4913
3,TERMINAL-AMBIGUOUS-AMBIGUOUS,36,10.1838
3,AMBIGUOUS-INITIAL-MEDIAL,35,10.0667
3,INITIAL-AMBIGUOUS-TERMINAL,8,6.0
3,MEDIAL-TERMINAL-TERMINAL,14,5.9
3,AMBIGUOUS-AMBIGUOUS-INITIAL,26,5.4373
3,INITIAL-TERMINAL-AMBIGUOUS,7,4.5
3,MEDIAL-MEDIAL-MEDIAL,18,3.9194
3,TERMINAL-TERMINAL-TERMINAL,10,3.7714
3,TERMINAL-MEDIAL-AMBIGUOUS,14,3.5667
3,INITIAL-INITIAL-AMBIGUOUS,6,3.5
3,TERMINAL-AMBIGUOUS-TERMINAL,9,3.325
3,MEDIAL-MEDIAL-TERMINAL,8,2.9167
3,AMBIGUOUS-MEDIAL-INITIAL,8,2.9167
3,INITIAL-MEDIAL-TERMINAL,4,2.4167
3,AMBIGUOUS-TERMINAL-MEDIAL,10,2.3167
3,INITIAL-MEDIAL-INITIAL,5,1.8667
3,MEDIAL-AMBIGUOUS-INITIAL,8,1.8512
3,MEDIAL-TERMINAL-AMBIGUOUS,8,1.6762
3,AMBIGUOUS-INITIAL-TERMINAL,5,1.6667
3,MEDIAL-INITIAL-AMBIGUOUS,5,1.45
3,TERMINAL-INITIAL-MEDIAL,5,1.4318
3,TERMINAL-AMBIGUOUS-MEDIAL,6,1.2833
3,TERMINAL-TERMINAL-INITIAL,3,1.25
3,AMBIGUOUS-INITIAL-INITIAL,4,1.119
3,MEDIAL-INITIAL-MEDIAL,4,1.0833
3,MEDIAL-INITIAL-TERMINAL,2,1.0
3,INITIAL-AMBIGUOUS-INITIAL,3,0.8095
3,TERMINAL-AMBIGUOUS-INITIAL,3,0.5278
3,TERMINAL-TERMINAL-AMBIGUOUS,3,0.4524
3,MEDIAL-TERMINAL-MEDIAL,1,0.3333
3,TERMINAL-MEDIAL-TERMINAL,1,0.3333
3,INITIAL-TERMINAL-TERMINAL,1,0.3333
3,AMBIGUOUS-TERMINAL-INITIAL,2,0.1818
