sign_a,sign_b,pmi_score,co_occurrence_count
172,304,7.90644,7
2,45,7.005975,3
96,409,6.818977,14
201,277,6.684047,3
113,263,6.684047,3
136,193,6.224616,9
294,337,6.211559,3
41,137,6.19862,9
189,252,6.135611,4
19,96,6.111158,3
94,409,6.099085,4
128,327,6.051779,6
175,282,6.028695,3
183,407,5.998107,10
19,409,5.876692,3
190,374,5.876692,3
32,319,5.83605,3
205,367,5.83605,4
177,192,5.777157,6
121,172,5.673779,7
155,301,5.67282,8
150,404,5.514122,3
134,261,5.472646,4
230,253,5.426659,12
222,254,5.354924,19
121,304,5.351851,7
2,14,5.305536,3
172,307,5.29763,7
252,295,5.135611,4
45,95,5.099085,3
56,244,5.005975,3
204,358,4.978069,22
304,307,4.975702,7
226,254,4.939886,6
103,403,4.917664,25
51,130,4.910684,50
25,295,4.83605,4
1,172,4.689209,7
142,149,4.687659,5
186,261,4.649523,4
112,194,4.644032,24
121,209,4.60339,5
258,347,4.601746,14
177,284,4.596584,6
177,197,4.575523,8
192,197,4.575523,6
217,347,4.559926,4
15,337,4.550648,3
139,197,4.518939,5
130,149,4.489559,33
58,244,4.421013,3
307,379,4.402813,8
78,347,4.396427,5
110,204,4.376619,3
1,304,4.367281,7
175,230,4.344197,14
217,403,4.344197,3
18,252,4.328256,6
249,275,4.322981,4
81,100,4.312488,3
178,389,4.305536,27
18,194,4.281462,7
192,341,4.281462,5
15,178,4.251088,26
293,404,4.211559,3
97,295,4.211559,4
373,407,4.202725,11
102,190,4.192194,18
177,307,4.168347,8
47,173,4.154226,3
2,12,4.140905,7
175,214,4.121805,4
123,404,4.117232,4
123,412,4.117232,4
123,305,4.117232,3
182,293,4.096082,27
18,345,4.065221,5
1,41,4.051779,9
98,174,4.048873,3
245,358,4.03947,20
216,254,4.032996,28
175,400,4.028695,3
18,25,4.028695,6
18,112,4.028695,7
98,209,4.008231,5
94,244,4.005975,3
124,407,3.985864,16
54,180,3.969802,3
263,343,3.939213,4
175,180,3.899412,8
287,373,3.899412,16
60,100,3.897451,3
252,261,3.887683,4
1,209,3.881854,6
177,341,3.866424,5
321,336,3.851157,13
275,336,3.851157,4
209,343,3.846104,9
195,343,3.846104,3
51,149,3.834283,34
150,302,3.813683,3
18,341,3.796035,5
149,182,3.794574,15
169,183,3.791656,11
245,330,3.768168,4
65,183,3.767809,10
86,134,3.766377,8
169,407,3.754182,38
325,347,3.744351,5
130,182,3.729618,10
25,252,3.720573,9
183,336,3.713654,10
28,54,3.706767,3
81,375,3.706767,3
287,319,3.706767,8
190,373,3.706767,4
72,388,3.693092,6
