sign_a,sign_b,pmi,cooc,n_with_pair,top_motif,top_motif_n,top_motif_%,base_%,enrichment_x,chi2,p_value,df
172,304,7.906,7,7,UNICORN,7,100.0,34.5,2.9,n/a,n/a,n/a
2,45,7.006,3,3,TREES-AND-LEAVES,3,100.0,0.2,457.0,n/a,n/a,n/a
96,409,6.819,14,14,UNICORN,4,28.6,34.5,0.83,48.578,0.0000,3
201,277,6.684,3,3,BULL,2,66.7,4.9,13.54,n/a,n/a,n/a
113,263,6.684,3,3,NO-MOTIF,3,100.0,50.6,1.98,n/a,n/a,n/a
136,193,6.225,9,9,NO-MOTIF,5,55.6,50.6,1.1,0.3,0.5840,1
294,337,6.212,3,3,NO-MOTIF,3,100.0,50.6,1.98,n/a,n/a,n/a
41,137,6.199,9,9,NO-MOTIF,9,100.0,50.6,1.98,n/a,n/a,n/a
189,252,6.136,4,4,NO-MOTIF,2,50.0,50.6,0.99,0.277,0.5985,1
19,96,6.111,3,3,UNICORN,2,66.7,34.5,1.93,n/a,n/a,n/a
94,409,6.099,4,4,NO-MOTIF,3,75.0,50.6,1.48,n/a,n/a,n/a
128,327,6.052,6,6,NO-MOTIF,3,50.0,50.6,0.99,0.003,0.9569,1
175,282,6.029,3,3,UNICORN,2,66.7,34.5,1.93,n/a,n/a,n/a
183,407,5.998,10,10,NO-MOTIF,10,100.0,50.6,1.98,n/a,n/a,n/a
19,409,5.877,3,3,UNICORN,2,66.7,34.5,1.93,n/a,n/a,n/a
190,374,5.877,3,3,NO-MOTIF,3,100.0,50.6,1.98,n/a,n/a,n/a
32,319,5.836,3,3,UNICORN,3,100.0,34.5,2.9,n/a,n/a,n/a
205,367,5.836,4,4,NO-MOTIF,4,100.0,50.6,1.98,n/a,n/a,n/a
177,192,5.777,6,6,NO-MOTIF,6,100.0,50.6,1.98,n/a,n/a,n/a
121,172,5.674,7,7,UNICORN,7,100.0,34.5,2.9,n/a,n/a,n/a
