sign,degree,degree_centrality,betweenness_centrality,total_count,doc_count
1,33,0.083123,0.006145,105,93
2,6,0.015113,0.0,16,16
3,0,0.0,0.0,6,6
4,0,0.0,0.0,2,2
5,0,0.0,0.0,2,2
6,0,0.0,0.0,5,5
7,1,0.002519,0.0,7,7
8,22,0.055416,7.6e-05,85,85
9,3,0.007557,0.0,10,10
10,0,0.0,0.0,5,4
11,0,0.0,0.0,2,2
12,12,0.030227,0.002633,68,68
13,0,0.0,0.0,1,1
14,2,0.005038,0.0,13,13
15,18,0.04534,0.007073,117,117
16,0,0.0,0.0,1,1
17,35,0.088161,0.033827,71,71
18,14,0.035264,0.0,21,21
19,3,0.007557,0.0,7,7
20,0,0.0,0.0,1,1
21,0,0.0,0.0,2,1
22,0,0.0,0.0,3,3
23,0,0.0,0.0,1,1
24,0,0.0,0.0,2,2
25,15,0.037783,0.0,48,48
26,0,0.0,0.0,1,1
27,0,0.0,0.0,2,2
28,24,0.060453,0.0,42,42
29,0,0.0,0.0,2,2
30,0,0.0,0.0,2,2
31,0,0.0,0.0,2,2
32,1,0.002519,0.0,6,6
33,0,0.0,0.0,1,1
34,0,0.0,0.0,2,2
35,0,0.0,0.0,3,3
36,0,0.0,0.0,2,2
37,0,0.0,0.0,1,1
38,0,0.0,0.0,6,6
39,0,0.0,0.0,1,1
40,3,0.007557,0.0,13,13
41,7,0.017632,0.0,16,16
42,0,0.0,0.0,1,1
43,0,0.0,0.0,1,1
44,0,0.0,0.0,2,2
45,4,0.010076,0.0,4,4
46,0,0.0,0.0,1,1
47,6,0.015113,0.0,14,14
48,14,0.035264,0.016933,147,147
49,0,0.0,0.0,2,2
50,2,0.005038,0.0,7,7
51,31,0.078086,0.008282,86,86
52,0,0.0,0.0,1,1
53,40,0.100756,0.007226,102,102
54,7,0.017632,0.0,17,15
55,0,0.0,0.0,4,4
56,1,0.002519,0.0,4,4
57,1,0.002519,0.0,6,6
58,2,0.005038,0.0,6,6
59,55,0.138539,0.010877,302,293
60,9,0.02267,0.0,24,24
61,0,0.0,0.0,1,1
62,5,0.012594,0.0,10,10
63,0,0.0,0.0,10,10
64,0,0.0,0.0,2,2
65,50,0.125945,0.05053,183,183
66,5,0.012594,0.0,18,18
67,52,0.130982,0.012302,234,234
68,1,0.002519,0.0,8,8
69,0,0.0,0.0,4,4
70,28,0.070529,0.009897,55,55
71,1,0.002519,0.0,6,6
72,42,0.105793,0.012136,159,159
73,1,0.002519,0.0,8,8
74,0,0.0,0.0,2,2
75,2,0.005038,0.0,11,11
76,3,0.007557,0.0,14,13
77,0,0.0,0.0,2,2
78,2,0.005038,0.0,7,7
79,0,0.0,0.0,1,1
80,0,0.0,0.0,3,3
81,11,0.027708,0.0,18,18
82,0,0.0,0.0,1,1
83,0,0.0,0.0,3,3
84,0,0.0,0.0,7,7
85,0,0.0,0.0,1,1
86,29,0.073048,0.010979,125,124
87,41,0.103275,0.056497,312,298
88,0,0.0,0.0,1,1
89,24,0.060453,0.005318,274,268
90,0,0.0,0.0,2,2
91,0,0.0,0.0,2,2
93,4,0.010076,0.0,10,10
94,4,0.010076,0.0,8,8
95,3,0.007557,0.0,60,60
96,6,0.015113,0.0,17,17
97,32,0.080605,0.018256,79,74
98,38,0.095718,0.041727,71,71
99,101,0.254408,0.06586,534,533
100,13,0.032746,0.0,23,23
101,0,0.0,0.0,1,1
102,22,0.055416,0.002608,135,135
103,3,0.007557,0.0,28,28
104,11,0.027708,0.000114,66,65
105,0,0.0,0.0,2,2
106,6,0.015113,0.0,36,36
107,0,0.0,0.0,6,6
108,0,0.0,0.0,3,3
109,6,0.015113,0.0,31,31
110,2,0.005038,0.0,6,6
111,1,0.002519,0.0,4,4
112,23,0.057935,0.0,56,56
113,5,0.012594,0.0,16,16
114,0,0.0,0.0,6,6
115,0,0.0,0.0,1,1
116,0,0.0,0.0,1,1
117,0,0.0,0.0,1,1
118,0,0.0,0.0,1,1
119,3,0.007557,0.0,13,13
120,0,0.0,0.0,2,2
121,20,0.050378,0.0,56,47
122,0,0.0,0.0,1,1
123,47,0.118388,0.003626,159,158
124,20,0.050378,0.0,71,71
125,5,0.012594,0.0,14,14
126,0,0.0,0.0,4,4
127,13,0.032746,0.10213,45,44
128,2,0.005038,0.0,8,8
129,0,0.0,0.0,4,4
130,19,0.047859,0.0,53,53
132,1,0.002519,0.0,3,3
133,0,0.0,0.0,1,1
134,6,0.015113,0.0,13,13
135,9,0.02267,0.0,27,27
136,4,0.010076,0.0,15,15
137,10,0.025189,0.0,21,21
138,0,0.0,0.0,3,3
139,6,0.015113,0.0,13,13
140,0,0.0,0.0,2,2
141,1,0.002519,0.0,4,4
142,1,0.002519,0.0,7,7
143,0,0.0,0.0,1,1
